fact_id,date_id,state_id,total_tests,positive_tests,positivity_rate,vaccination_coverage_pct,booster_coverage_pct,hospital_beds,doctors,phc_count,chc_count,icu_utilization_pct,bed_occupancy_pct,reporting_compliance_pct,turnaround_time_days,reporting_rate_pct
137,5,9,5894,1051,17.84,49.9,24.5,1122,579,21,21,93.8,57.4,63.5,4.2,63.2
138,5,10,41302,7057,17.09,71.7,24.6,7933,1895,202,69,78.9,49.4,80.1,1.7,97.8
139,5,11,55203,6423,11.64,61.1,30.6,19399,2169,341,140,60,42.9,77.9,3.9,80.1
140,5,12,41451,7451,17.98,68.2,41.5,9456,2943,92,62,38.8,65.6,94.7,2.5,87.6
141,5,13,37407,1734.5,2.31,56.7,24.6,21382,4295,511,67,60.8,38,73.1,0.5,56.8
142,5,14,73215,10160,13.88,68.2,44.4,12274,8768,548,194,63.1,62,92.7,1.9,68
143,5,15,3103,344,11.11,80.1,27.8,511,255,17,4,88.6,73.4,98.5,2.8,60.8
144,5,16,2518,300,11.95,98.2,41,522,246,19,6,51.4,47,63,2.4,64.1
145,5,17,1226,66,5.45,56.4,31.4,263,28,8,1,39.9,56.4,66.4,3.4,66.2
146,5,18,880,120,13.74,71.1,56.1,194,88,17,5,88.1,54.2,61.1,0.6,93.9
147,5,19,40237,6113,15.19,87.8,45.6,4897.5,3873,336,26,75.6,96,80.1,4.1,60.8
148,5,20,32859,2057,6.26,66.3,36.4,4021,1820,234,54,56.9,92.2,88.1,3.7,66.3
149,5,21,61148,1734.5,4.95,69.7,22.1,13182,4511,190,91,63.6,40.5,86,1,87.1
150,5,22,287,16,5.7,62.3,20.7,78,30,3,1,91.5,69.4,86.2,3.9,83.4
151,5,23,82760,11108,13.42,93.2,56.2,6323,2544,547,205,62.9,49.7,67.1,4.7,84.2
152,5,24,40996,5443,13.28,50.3,18,10641,2488,99,78,40.1,95.1,86.3,2,69.1
153,5,25,4573,1734.5,12.98,77.4,36.1,834,350,30,4,60.1,64.7,88.3,0.6,67.5
154,5,26,153874,4760,3.09,77.7,34.4,68530,12517,1070,515,90.2,68.5,77.5,4.2,74.4
155,5,27,15222,1193,7.84,86.6,28.3,1849,808,43,18,56.6,41.9,92.4,5,62.7
156,5,28,92708,13267,14.31,73.7,45.8,19251,6060,270,207,39.2,59.8,60.6,2.5,78
157,5,29,29507,4654,15.77,77.5,40.7,5969,1718,237,26,53.4,66.7,84.6,2.6,87.1
158,5,30,16189,2528,15.62,92.2,29.7,2097,1002,77,12,30.8,58,82.2,1.1,86
159,5,31,234,38,16.44,47.9,28.2,66,11,0,0,55.1,36.7,96.4,2.1,70.5
160,5,32,961,142,14.86,76.6,51.2,428,122,6,3,93.3,58,66,2.7,98.2
161,6,1,62452,7573,12.13,70.9,30.5,6942,4001,247,49,76.7,93.4,73.9,3.6,65.5
162,6,2,707,71,10.1,83,25.7,466,113,8,4,57.5,60.7,66.3,3.3,80.7
163,6,3,23961,1618,6.75,86,33.5,4580,1313,219,53,84.8,85.5,95.4,0.9,77.9
164,6,4,100389,4046,4.03,56.8,27,28786,9552,445,175,83,90.7,92.4,4.6,85.6
165,6,5,25611,3075,12.01,93.8,42.9,3059,1572,235,69,73,68.3,66.8,1.5,65.9
166,6,6,1322,134,10.2,61.1,31.9,302,135,10,1,97.2,67.9,97.9,4.7,98.5
167,6,7,58231,8452,14.52,92.7,59.5,16800,5847,388,119,53.7,56.5,66,4,85.9
168,6,8,13091,1637,12.51,81.1,28.8,7351,2057,115,42,71.6,66.6,73.2,3.6,91.7
169,6,9,3892,613,15.76,87.6,33.1,4897.5,275,54,5,84.9,83.7,85.7,1,85.7
170,6,10,22023,2411,10.95,94,32,9506,3436,210,100,52.9,47.7,79.4,4.1,84.3
171,6,11,60797,3253,5.35,85.8,41.1,12672,4325,307,70,82.4,61.5,86.9,4.8,87.1
172,6,12,27555,3165,11.49,62.1,34.1,6045,2284,199,61,95.8,86.9,73.6,1.5,96.7
173,6,13,44171,2807,6.36,71.1,48.4,4897.5,5170,468,69,32,48.4,87.2,4.8,93.8
174,6,14,65614,6759,10.3,86.6,42,15217,7308,958,170,72.8,74.5,74.7,3.3,92.3
175,6,15,1973,191,9.71,50.7,29.5,439,183,14,7,49.1,93.2,88.1,3.5,74.6
176,6,16,1645,78,4.79,60,19.5,753,77,15,8,38.9,90.4,75.9,3.4,82.3
177,6,17,849,76,8.96,53.7,37.1,162,57,3,0,31.6,60.6,61.3,2.7,85.1
178,6,18,1346,42,3.16,75.6,45.3,447,50,15,3,34.9,85.2,95.6,3.5,98.9
179,6,19,35129,5908,16.82,56,31.4,7235,947,213,76,30.1,86.8,86.3,0.5,58.1
180,6,20,12470,513,4.12,54.9,22.5,4384,1605,147,85,40.4,83,84.5,3.2,97.3
181,6,21,96143,15028,15.63,76.8,32,21920,2537,324,222,31.1,42.6,69,4.9,84.1
182,6,22,651,99,15.24,94.7,45.5,102,14,2,0,85,40.9,97.1,2.6,69
183,6,23,44254,7302,16.5,62.7,21.4,7609,5098,488,48,78.6,69.4,84.9,2,84.8
184,6,24,21877,1208,5.52,72.5,42.8,4551,2710,214,37,87,49.3,79.3,2.9,68.8
185,6,25,4542,118,2.61,54.3,36.6,1019,218,24,8,32.4,65.7,74.1,2.2,81.9
186,6,26,127528,8449,6.63,71.1,17.9,53890,10054,699,332,70.5,54.9,76.6,4.3,96.4
187,6,27,20491,2327,11.36,63.8,43.1,5502,1358,96,17,48.8,42.8,60.4,1.3,66.9
188,6,28,46654,2105,4.51,83.1,46.5,21314,5839,343,94,39.8,71.6,64.9,3.1,84.7
189,6,29,26059,1012,3.89,45.9,29.3,7946,2483,116,67,55.6,64.8,80,2.4,65.8
190,6,30,8531,346,4.06,74.5,51.6,2330,971,47,38,54.5,56.1,71.4,1.7,62.1
191,6,31,348,29,8.49,87.8,53.7,43,9,0,0,72.2,73,66,1.1,89.3
192,6,32,1246,148,11.95,68.7,42.8,335,101,9,3,39.1,96.7,69.2,3.9,78.4
193,7,1,46809,5677,12.13,57.8,39.2,15104,4772,278,159,68.3,39.3,90.7,3.9,79.2
194,7,2,1062,136,12.83,82.2,30.8,425,85,6,1,65,94.4,69.7,2,70.5
195,7,3,38307,6337,16.54,70.1,37.8,4793,2843,217,84,56.8,95.4,78.9,3.7,62.3
196,7,4,127931,3445,2.69,91,36.6,10928,9922,931,310,88.4,82,77.4,4.9,92.6
197,7,5,17870,415,2.33,66,38.9,6615,942,88,88,36.3,35.9,81.7,1.5,95.6
198,7,6,1654,215,13.04,46.3,20,398,67,8,1,72.5,73.7,81.3,2.8,57.8
199,7,7,45129,5230,11.59,45.2,27.7,7572,1833,329,201,34.2,67,93,1.3,66.4
200,7,8,26874,2856,10.63,80.9,37.9,5604,2382,212,26,87,37.9,90.2,2.6,89.9
201,7,9,7071,1011,14.31,83.6,56.9,1318,475,52,16,82.4,94.5,97.9,3.6,92.3
202,7,10,43398,1734.5,3.33,75.1,34.5,4078,1722,203,31,34.1,69.5,65.2,2,68.7
203,7,11,28709,659,2.3,51,22.2,19485,3510,519,67,41.5,56.8,67.3,4.5,98.9
204,7,12,27107,2062,7.61,45.6,18.6,4630,1535,138,99,58.4,88.5,91,3.9,76.9
205,7,13,34267,1324,3.87,65.3,45.7,7268,4972,353,186,95.8,76,65.6,1.4,88.3
206,7,14,94548,11271,11.92,54.8,20.3,36035,4584,487,162,48.5,93.1,61.9,1.7,57.6
207,7,15,2736,94,3.47,60.8,41.4,342,181,9,2,37.4,91.4,70.8,3.7,70.9
208,7,16,1788,96,5.42,83.5,35.2,483,264,10,4,89.6,61.3,66.4,4.4,66.7
209,7,17,717,108,15.13,71.1,43.6,213,76,4,1,55.4,71.4,79.1,0.7,61.2
210,7,18,1205,166,13.81,68.4,24.9,409,156,12,1,54.8,95.3,95.7,0.9,74
211,7,19,41909,1901,4.54,54.8,23.8,9714,2862,193,132,41.4,88.5,87.1,3.8,80.7
212,7,20,33915,2528,7.46,84.3,51,2413,885,68,60,42.6,64.9,82.1,3.1,92.6
213,7,21,79261,6952,8.77,89.8,58.5,14432,3534,360,52,88.1,60.4,80.1,0.6,74.6
214,7,22,699,26,3.81,47.1,14.7,155,26,4,1,42.5,72.9,75.6,2.7,71.5
215,7,23,81736,1919,2.35,49.5,15.5,13543,5842,509,151,49.2,83.2,86.3,0.6,94.9
216,7,24,18292,1043,5.7,58.6,27.8,10560,1088,150,87,55.5,91.7,89.9,3.7,78.6
217,7,25,4003,240,6,76.5,32.1,806,174,30,9,51.8,82.3,90.7,1.4,73.3
218,7,26,273771,25337,9.25,71.1,45.5,22517,6413,1663,468,42.5,83.8,88.6,1.6,83.4
219,7,27,23563,3117,13.23,47.8,29.8,4311,1062,90,56,59.4,38,79.6,1.9,57.1
220,7,28,70243,2220,3.16,72.8,29.7,23079,3527,688,297,41.3,80,92.3,3,77.8
221,7,29,16944,2460,14.52,58.4,23.5,3512,1158,194,91,87.4,90.6,76.4,1.3,68.2
222,7,30,12720,1390,10.93,75.2,46.4,3452,844,74,28,72.7,54.6,88.8,4.6,64
223,7,31,152,9,6.52,71.1,41.4,89,13,1,0,31.5,63.5,82.7,0.5,96.9
224,7,32,1427,138,9.71,96.7,58.6,382,107,9,3,100,100,79.2,3.7,87.8
225,8,1,35908,6166,17.17,71.1,44.7,5090,4580,279,124,86.8,82.4,68.2,4,85.3
226,8,2,1705,176,10.34,97.9,64.3,172,60,7,1,75.5,51.4,76.2,2.2,93.6
227,8,3,32153,4315,13.42,95.5,53.4,2981,2997,262,100,53.3,37.3,80.8,3.9,94.3
228,8,4,54280,5642,10.39,53,36.6,21636,4710,840,354,97.7,67.4,69,1.5,95.7
229,8,5,18413,2142,11.63,66,22.6,2785,2558,81,69,95.2,92.6,72,2.4,86.1
230,8,6,1533,80,5.26,50.3,17.5,217,111,4,3,37.8,50.2,81.5,1.4,99
231,8,7,33847,3303,9.76,75.9,52.8,18451,3380,262,141,32.3,50.5,69.5,3.3,89.2
232,8,8,28780,1985,6.9,55.1,35.1,4081,2272,149,21,45,37,68.3,1.6,61.1
233,8,9,6306,220,3.49,91.6,51.6,764,200,47,3,64.1,94.3,88.6,1.7,86.3
234,8,10,45207,1339,2.96,69.3,37.2,6789,970,114,92,39.5,70.7,97.9,4.4,86.2
235,8,11,31437,2078,6.61,80.5,31.7,14690,3334,337,54,93.3,93.4,87.4,2.5,84.9
236,8,12,32961,3583,10.87,65.6,41.1,9530,1219,161,20,69.4,62.4,87.9,0.5,64.4
237,8,13,86600,7100,8.2,73.9,34.4,7849,2015,665,58,80.7,44.3,70.2,1.7,78
238,8,14,129062,15588,12.08,67.1,26.8,21613,11048,460,108,69.4,41.7,78.2,0.6,56.8
239,8,15,1266,67,5.3,73.3,25.4,823,176,11,1,61.6,36,86,4.3,59.7
240,8,16,1704,196,11.54,71,31.2,346,212,9,5,68.3,86.1,95.9,3.7,96.9
241,8,17,1302,79,6.09,81.1,54.5,352,53,3,2,89.5,72.2,82.9,0.7,78.3
242,8,18,2016,154,7.67,70.8,24.5,504,183,10,3,42.1,51.8,96.6,4.8,90.1
243,8,19,30050,2166,7.21,70.1,39.6,10202,2647,108,46,95.9,91.6,94,1.9,79.7
244,8,20,26179,2715,10.37,50,30.2,6665,2298,95,40,84.7,36.9,72.6,3.6,59.2
245,8,21,85336,12448,14.59,49.4,25.1,20122,5492,479,51,92.1,66.7,90.1,3.5,59.1
246,8,22,774,138,17.91,49.5,18.4,112,38,4,1,68.1,42,83.2,2.3,57
247,8,23,42836,3592,8.39,58.5,36.1,15030,2971,286,140,54.7,75.1,88.3,2,83.5
248,8,24,40251,1367,3.4,76,47.1,9574,3410,130,65,65.4,44.5,68,3.7,92.1
249,8,25,1973,113,5.77,83.9,26.1,617,321,27,6,43,70.3,72.3,2.9,61.8
250,8,26,128566,16553,12.88,76.7,35.7,64757,11818,719,601,94.6,88.3,90.5,4.7,67.5
251,8,27,10449,1454,13.92,90.7,63.1,3518,882,120,18,30.2,67.4,85.4,2.8,63.6
252,8,28,90447,5313,5.87,67.1,28.3,10964,7878,562,211,95.5,37.9,69,1.4,92.9
253,8,29,29710,2461,8.29,55,35,8768,1783,247,63,66.6,49.1,63.1,2.6,79.4
254,8,30,11500,1646,14.32,73.7,47.5,1572,953,67,37,60.2,80.9,77.5,4.3,88.2
255,8,31,290,25,8.65,46,29.1,4897.5,18,1,0,88.5,95.6,72.5,4.8,74.8
256,8,32,689,87,12.64,63.6,19.7,215,47,9,3,93.1,70.7,73.6,2.8,68.5
257,9,1,40361,7159,17.74,92.6,40,4700,1875,343,34,58,60.2,83.9,2.6,60.5
258,9,2,692,50,7.29,76.7,51.1,366,130,5,1,73.1,38.6,98,4.2,81.6
259,9,3,29071,2337,8.04,60.9,25.5,6390,1640,181,47,95,53.7,70.6,3.7,59.3
260,9,4,127581,22184,17.39,66.8,28.8,29807,4519,445,367,63.2,52.2,69.1,3.8,88
261,9,5,15275,1557,10.2,97.8,56.5,7578,1754,78,21,75.1,81.7,93.6,3.9,99.9
262,9,6,1048,138,13.21,47.1,17.5,169,65,7,2,75.3,37.8,95.7,4.4,98.3
263,9,7,80446,14171,17.62,70.8,47,9842,3836,200,161,91.9,77.1,78.4,4.8,63.2
264,9,8,34485,1255,3.64,63.9,23.2,5683,1455,200,60,100,100,73.1,1,63.4
265,9,9,3959,391,9.9,72.7,38.9,965,473,49,16,46.6,53.5,72.1,1.1,91.9
266,9,10,44723,1614,3.61,64.8,40.2,4889,1948,80,115,52.7,69.6,69.9,1.4,82
267,9,11,58577,8707,14.87,70.1,24.4,14167,4535,136,127,74.1,61,91.5,1.7,61
